CTUID,cisr_dim1,cisr_dim2,cisr_dim3,cisr_score,cisr_quintile,cisv_dim1,cisv_dim2,cisv_dim3,cisv_dim4,cisv_score,cisv_quintile
5350324.06,1.4917,0.2053,0.0038,0.567,4.6,1.5042,-0.2555,-0.501,-0.9074,-0.0399,3.2
5350330.00,1.3069,0.6766,-0.5398,0.4812,4.125,0.2805,0.2261,-0.7606,-0.8079,-0.2655,2.125
5350331.01,1.1707,0.716,-0.445,0.4805,4.2222,0.5235,0.1142,-0.6667,-0.6876,-0.1791,2.4444
5350331.03,0.2414,-1.5403,0.1762,-0.3742,1.6667,3.519,0.0312,0.3658,1.3875,1.3259,5.0
5350331.04,0.9334,0.3672,0.051,0.4505,4.0,1.3138,0.0722,-0.6385,-0.2624,0.1213,3.4
5350332.00,0.3127,-0.5378,-0.3562,-0.1938,2.6667,1.7159,0.6195,0.14,0.2852,0.6901,4.1111
5350333.00,0.8908,0.2961,-0.1755,0.3371,3.7143,0.7623,-0.0922,-0.1475,-0.7469,-0.0561,3.0
5350334.00,1.1762,0.3863,0.2769,0.6131,4.2857,0.2887,-0.4572,-0.4651,-0.8054,-0.3597,2.1429
5350335.00,0.703,-0.1307,-0.2933,0.093,3.3333,1.0126,0.416,-0.1905,-0.3953,0.2107,3.25
5350336.00,0.3557,0.0152,0.112,0.161,3.5,0.829,-0.2016,-0.017,-0.3238,0.0716,3.3571
5350337.01,0.1456,-1.4624,0.0878,-0.4097,2.0,1.389,0.5456,0.2542,1.151,0.8349,5.0
5350337.02,0.509,-0.9059,-0.8877,-0.4282,1.75,0.6812,0.3641,0.104,0.5946,0.436,4.0
5350338.00,0.7668,-0.0271,-0.2705,0.1564,3.4545,0.3079,-0.1008,-0.2064,-0.1273,-0.0317,2.6364
5350339.00,1.5994,0.3296,-0.142,0.5957,4.3846,0.3884,0.2164,-0.9402,-0.6671,-0.2506,2.4615
5350340.00,0.4332,-0.1609,0.1198,0.1307,3.4,1.358,-0.3487,-0.0487,-0.1106,0.2125,3.7
5350341.02,0.4389,-0.6127,-0.2025,-0.1254,3.0,1.6551,0.4863,0.1342,0.265,0.6351,4.25
5350341.03,0.6749,-2.8446,-1.0876,-1.0858,1.0,3.5797,1.6318,0.96,2.0823,2.0635,5.0
5350341.04,0.0756,-1.0431,-0.1585,-0.3753,2.2857,2.3408,0.1493,1.3601,0.2313,1.0204,4.7143
5350342.00,0.4301,-0.1359,-0.2085,0.0286,3.0,1.2688,0.2239,-0.0522,-0.34,0.2751,3.8
5350343.00,0.1888,-0.3496,-0.3566,-0.1725,2.7143,1.4532,0.4046,0.3266,-0.4715,0.4282,4.2857
5350344.01,0.1462,-0.3761,-0.197,-0.1423,2.5556,1.588,0.2553,0.3788,-0.4803,0.4354,4.2222
5350344.02,0.0537,-1.6386,-0.9638,-0.8496,2.0,2.8139,2.1864,0.3875,1.5007,1.7221,5.0
5350345.00,0.5634,0.044,0.1452,0.2509,3.7143,1.2931,-0.0441,0.0442,-0.8371,0.114,3.7143
5350346.01,0.4304,-0.7814,-0.2529,-0.2013,2.6667,1.9461,0.0635,0.6169,0.0753,0.6754,4.6667
5350346.02,0.4735,-0.5144,0.0505,0.0032,2.8333,1.9723,-0.2546,0.0302,0.1373,0.4713,4.0
5350347.00,0.5388,0.1138,0.2944,0.3157,4.0,0.8429,-0.3731,-0.1423,-0.5033,-0.0439,3.0
5350348.00,0.7689,0.3894,-0.1289,0.3431,3.875,0.7159,-0.0579,-0.3614,-0.4946,-0.0495,3.25
5350349.00,0.2116,-0.8271,-0.2979,-0.3044,2.2222,2.0319,0.053,0.3751,0.2232,0.6708,4.5556
5350350.00,0.4304,0.2026,-0.3561,0.0923,3.1111,1.0513,0.33,-0.2822,-0.562,0.1343,3.6667
5350351.01,0.3003,-0.3767,-0.4549,-0.1771,2.8,1.72,0.4709,0.0114,0.1124,0.5787,4.4
5350351.02,0.3829,-0.785,-0.467,-0.2897,2.0,1.9934,0.2054,0.0652,0.4587,0.6807,5.0
5350352.00,0.4973,-0.0816,-0.216,0.0666,3.1429,1.7619,0.1221,-0.1115,-0.0666,0.4265,4.2857
5350353.02,0.4396,0.0673,-0.117,0.13,3.4286,1.5392,-0.0466,0.0898,-0.6858,0.2241,3.5714
5350353.03,0.4623,-0.064,0.3705,0.2563,3.5,1.9931,0.1035,-0.5624,-0.042,0.373,4.5
5350353.04,0.245,-0.2459,-0.3338,-0.1116,2.8,1.7428,0.4257,0.1446,-0.3482,0.4912,4.0
5350354.00,0.4343,-0.1238,-0.2503,0.0201,3.1111,1.3141,-0.1833,-0.0492,-0.2853,0.1991,3.8889
5350355.02,0.3697,0.069,-0.5274,-0.0296,3.0,1.7216,0.4882,-0.2017,-0.1898,0.4546,4.1111
5350355.04,0.345,-0.748,0.6795,0.0922,3.0,2.3167,-0.1686,-0.3962,0.6572,0.6023,4.5
5350355.05,0.1663,-1.1501,-0.1715,-0.3851,1.5,2.4972,0.8549,-0.002,0.8932,1.0608,5.0
5350355.06,0.1364,-1.2352,-0.3563,-0.485,1.6667,2.4226,0.5959,0.3869,0.725,1.0326,4.6667
5350356.00,0.2796,0.2823,-0.1055,0.1521,3.4444,1.0744,-0.2554,-0.038,-0.7633,0.0044,3.2222
5350357.01,0.016,-1.1521,-0.5708,-0.5689,1.875,2.6179,1.2147,0.4103,-0.0888,1.0385,4.75
5350357.02,0.0122,-0.5374,-0.2667,-0.264,2.4,1.7961,0.3286,0.7127,-0.2914,0.6365,4.0
5350358.01,0.3333,0.2343,-0.5485,0.0063,2.8333,0.8368,0.2336,0.3901,-0.5018,0.2397,3.8333
5350358.02,0.2847,-0.8885,-0.2974,-0.3004,2.0,1.9622,0.7063,0.6995,0.137,0.8762,4.6
5350358.03,0.3723,-0.6278,-0.1977,-0.1511,2.8571,1.6599,0.3668,0.4232,0.2959,0.6864,4.0
5350359.00,0.2281,-0.4026,0.0595,-0.0384,2.9,1.7702,0.1252,0.1523,0.2588,0.5766,4.3
5350360.00,0.5797,0.3716,-0.1657,0.2619,3.7,0.6544,-0.0649,-0.1063,-0.687,-0.051,2.9
5350361.01,1.1509,1.2326,0.2628,0.8821,4.8182,0.1849,-0.1994,-0.6747,-1.3716,-0.5152,1.5455
5350361.02,0.9856,0.9402,0.2113,0.7124,4.8,0.2436,-0.1615,-0.6575,-1.0472,-0.4056,1.6
5350362.01,0.4242,0.3098,0.1877,0.3072,3.7778,1.1351,0.0799,-0.0121,-0.6926,0.1276,3.4444
5350362.02,0.5154,0.6901,0.4618,0.5558,4.625,0.9996,-0.2663,-0.1566,-1.1277,-0.1378,2.625
