CTUID,temperature_c,apparent_temp_c,precipitation_mm,wind_speed_kmh,wind_gusts_kmh,weather_code,heat_days_per_yr,hot_days_per_yr,frost_days_per_yr,freezing_days_per_yr,annual_precip_mm,heavy_rain_days_per_yr,max_24h_precip_mm,max_wind_gust_kmh,mean_summer_tmax,in_flood_zone
5350412.25,21.6,24.2,0.0,7.8,13.7,0,10.833333333333334,65.5,135.66666666666666,42.833333333333336,947.1166666666668,3.0,50.7,44.2,17.896183800623053,False
5350412.26,21.6,24.1,0.0,7.8,13.7,0,10.833333333333334,65.5,135.66666666666666,42.833333333333336,947.1166666666668,3.0,50.7,44.2,17.896183800623053,False
5350413.01,21.7,23.8,0.0,7.9,13.7,0,9.333333333333334,62.833333333333336,138.16666666666666,44.833333333333336,917.1,3.0,49.9,43.5,17.586526479750777,False
5350413.02,21.4,23.7,0.0,7.8,14.0,0,,,,,,,,,,False
5350481.02,21.4,24.1,0.0,4.3,13.0,0,,,,,,,,,,False
5350411.28,21.4,23.8,0.0,7.0,14.0,0,,,,,,,,,,False
5350440.0,21.2,23.5,0.0,5.3,14.4,0,,,,,,,,,,False
5350576.29,22.1,23.7,0.0,11.2,14.0,0,,,,,,,,,,False
5350503.0,18.4,20.5,0.0,9.1,15.8,0,,,,,,,,,,False
5350504.0,18.5,20.7,0.0,9.1,15.8,0,,,,,,,,,,False
5350506.0,18.0,20.0,0.0,9.7,14.0,0,,,,,,,,,,False
5350507.0,18.1,20.1,0.0,9.7,14.0,0,,,,,,,,,,False
5350508.0,18.1,20.1,0.0,9.7,14.0,0,,,,,,,,,,False
5350510.0,18.4,20.2,0.0,10.6,13.7,0,,,,,,,,,,False
5350512.0,18.4,20.3,0.0,10.6,13.7,0,,,,,,,,,,False
5350411.29,21.8,24.6,0.0,6.6,13.7,0,,,,,,,,,,False
5350484.02,21.3,24.1,0.0,4.1,13.3,0,,,,,,,,,,False
5350517.0,19.6,21.8,0.0,10.4,14.8,0,,,,,,,,,,False
5350518.0,18.6,20.7,0.0,9.9,14.8,0,,,,,,,,,,False
5350519.0,19.6,21.7,0.0,11.2,14.4,0,,,,,,,,,,False
5350522.0,19.0,21.0,0.0,10.9,13.7,0,,,,,,,,,,False
5350523.0,19.4,21.5,0.0,11.6,14.0,0,,,,,,,,,,False
5350560.0,22.4,24.5,0.0,11.8,14.8,0,,,,,,,,,,False
5350561.0,21.9,23.7,0.0,13.0,15.5,0,,,,,,,,,,False
5350574.0,21.7,23.5,0.0,12.5,15.1,0,,,,,,,,,,False
5350411.3,21.3,23.9,0.0,8.1,14.0,0,,,,,,,,,,False
5350403.15,21.3,23.5,0.0,6.5,14.0,0,,,,,,,,,,False
5350403.16,21.2,23.7,0.0,5.5,8.6,0,,,,,,,,,,False
5350516.37,20.1,22.3,0.0,11.2,15.1,0,,,,,,,,,,False
5350516.38,19.9,22.1,0.0,11.1,16.2,0,,,,,,,,,,False
5350516.39,21.0,23.2,0.0,13.1,16.2,0,,,,,,,,,,False
5370006.0,22.3,24.1,0.0,9.8,12.2,0,,,,,,,,,,False
5370007.0,22.3,24.1,0.0,9.8,12.2,0,,,,,,,,,,False
5370008.0,22.3,24.0,0.0,9.8,12.2,0,,,,,,,,,,False
5370009.0,22.1,23.9,0.0,10.2,12.2,0,,,,,,,,,,False
5370010.0,22.1,23.9,0.0,10.2,12.2,0,,,,,,,,,,False
5370011.0,22.1,23.9,0.0,10.2,12.2,0,,,,,,,,,,False
5370012.0,22.2,23.9,0.0,10.2,12.2,0,,,,,,,,,,False
5370013.0,22.3,24.2,0.0,9.5,11.9,0,,,,,,,,,,False
5370014.0,22.3,24.2,0.0,9.5,11.9,0,,,,,,,,,,False
5370015.0,22.3,24.2,0.0,9.5,11.9,0,,,,,,,,,,False
5370016.0,22.3,24.2,0.0,9.5,11.9,0,,,,,,,,,,False
5370017.0,23.0,25.3,0.0,7.9,10.8,0,,,,,,,,,,False
5370018.0,22.6,25.0,0.0,5.9,10.8,0,,,,,,,,,,False
5370019.0,22.6,25.0,0.0,5.9,10.8,0,,,,,,,,,,False
5370020.0,22.6,25.0,0.0,5.9,10.8,0,,,,,,,,,,False
5370021.0,22.5,25.1,0.0,4.8,10.4,0,,,,,,,,,,False
5370022.0,22.5,25.1,0.0,4.8,10.4,0,,,,,,,,,,False
5370023.0,22.3,24.1,0.0,9.8,12.2,0,,,,,,,,,,False
5370024.0,22.3,24.1,0.0,9.8,12.2,0,,,,,,,,,,False
5370025.0,22.9,24.8,0.0,9.3,11.9,0,,,,,,,,,,False
5350516.4,20.8,22.9,0.0,13.7,16.6,0,,,,,,,,,,False
5370027.0,22.6,25.8,0.0,2.2,10.4,0,,,,,,,,,,False
5370028.0,22.6,25.7,0.0,2.2,10.4,0,,,,,,,,,,False
5370029.0,22.6,25.8,0.0,2.2,10.4,0,,,,,,,,,,False
5370030.0,23.2,26.0,0.0,4.8,10.4,0,,,,,,,,,,False
5370031.0,23.2,26.0,0.0,4.8,10.4,0,,,,,,,,,,False
5370032.0,23.2,26.0,0.0,4.8,10.4,0,,,,,,,,,,False
5370033.0,23.1,25.9,0.0,4.8,10.4,0,,,,,,,,,,False
5370034.0,23.2,25.8,0.0,5.9,10.8,0,,,,,,,,,,False
5370035.0,23.2,25.8,0.0,5.9,10.8,0,,,,,,,,,,False
5370036.0,23.2,25.9,0.0,5.9,10.8,0,,,,,,,,,,False
5370037.0,23.2,25.8,0.0,5.9,10.8,0,,,,,,,,,,False
5370038.0,23.1,25.7,0.0,5.9,10.8,0,,,,,,,,,,False
5370039.0,23.2,25.8,0.0,5.9,10.8,0,,,,,,,,,,False
5370040.0,23.2,25.8,0.0,5.9,10.8,0,,,,,,,,,,False
5370041.0,23.0,25.4,0.0,7.9,10.8,0,,,,,,,,,,False
5370042.0,23.1,25.5,0.0,7.9,10.8,0,,,,,,,,,,False
5370043.0,23.0,25.4,0.0,7.9,10.8,0,,,,,,,,,,False
5370044.0,23.1,25.2,0.0,8.9,11.2,0,,,,,,,,,,False
5370045.0,23.0,25.4,0.0,7.9,10.8,0,,,,,,,,,,False
5370046.0,22.8,25.6,0.0,4.8,10.4,0,,,,,,,,,,False
5370047.0,22.8,25.5,0.0,4.8,10.4,0,,,,,,,,,,False
5370048.0,23.2,25.9,0.0,5.9,10.8,0,,,,,,,,,,False
5370049.0,23.3,25.9,0.0,5.9,10.8,0,,,,,,,,,,False
5370050.0,23.3,25.9,0.0,5.9,10.8,0,,,,,,,,,,False
5370051.0,23.2,26.0,0.0,4.8,10.4,0,,,,,,,,,,False
5370052.0,23.2,26.0,0.0,4.8,10.4,0,,,,,,,,,,False
5370053.0,23.2,26.0,0.0,4.8,10.4,0,,,,,,,,,,False
5370054.0,23.2,26.0,0.0,4.8,10.4,0,,,,,,,,,,False
5370055.0,22.6,25.8,0.0,2.2,10.4,0,,,,,,,,,,False
5370056.0,22.6,25.9,0.0,2.2,10.4,0,,,,,,,,,,False
5370057.0,22.7,25.9,0.0,2.2,10.4,0,,,,,,,,,,False
5370058.0,23.3,26.1,0.0,4.8,10.4,0,,,,,,,,,,False
5370059.0,23.3,26.1,0.0,4.8,10.4,0,,,,,,,,,,False
5370060.0,23.3,26.1,0.0,4.8,10.4,0,,,,,,,,,,False
5370061.0,23.3,26.1,0.0,4.8,10.4,0,,,,,,,,,,False
5370062.0,23.3,26.0,0.0,5.9,10.8,0,,,,,,,,,,False
5370063.0,23.3,26.0,0.0,5.9,10.8,0,,,,,,,,,,False
5370064.0,23.3,26.0,0.0,5.9,10.8,0,,,,,,,,,,False
5370065.0,23.0,25.8,0.0,4.8,10.4,0,,,,,,,,,,False
5370066.0,23.3,26.0,0.0,5.9,10.8,0,,,,,,,,,,False
5370067.0,21.3,23.9,0.0,6.4,13.0,0,,,,,,,,,,False
5370068.0,21.3,23.8,0.0,6.4,13.0,0,,,,,,,,,,False
5370069.0,19.9,21.9,0.0,9.2,14.4,0,,,,,,,,,,False
5370070.0,19.9,22.0,0.0,9.2,14.4,0,,,,,,,,,,False
5370071.0,22.6,25.8,0.0,2.2,10.4,0,,,,,,,,,,False
5350516.41,20.5,22.7,0.0,12.6,16.2,0,,,,,,,,,,False
5370073.0,19.9,22.0,0.0,9.2,14.4,0,,,,,,,,,,False
5350516.43,20.1,22.3,0.0,11.2,15.1,0,,,,,,,,,,False
5350516.44,20.0,22.2,0.0,11.2,15.1,0,,,,,,,,,,False
